,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Sat Oct 07 15:30:52 +0000 2023,1710679089961693219,Eksklusif!  Saksikan Interview ''Kesaksian Jessica Petaka Kopi Sianida''   Hanya di Channel Youtube Official iNews  https://t.co/rGu45po0zm  #KopiSianida #IceCold #JessicaWongso https://t.co/QM8IXf7lYM,0,0,0,0,in,61377303,1710679089961693219,Lintas_MNCTV,https://twitter.com/Lintas_MNCTV/status/1710679089961693219
1,Sat Oct 07 15:30:39 +0000 2023,1710679034865271289,Eksklusif!  Saksikan Interview ''Kesaksian Jessica Petaka Kopi Sianida''   Hanya di Channel Youtube Official iNews  https://t.co/sfDgxxdssj  #KopiSianida #IceCold #JessicaWongso https://t.co/ujbt8CRggb,0,0,0,2,in,375995332,1710679034865271289,SeputariNews,https://twitter.com/SeputariNews/status/1710679034865271289
2,Sat Oct 07 15:30:24 +0000 2023,1710678973683020078,Eksklusif!  Saksikan Interview ''Kesaksian Jessica Petaka Kopi Sianida''   Hanya di Channel Youtube Official iNews  https://t.co/wgyXNFkIbO  #KopiSianida #IceCold #JessicaWongso https://t.co/Q2yembAMfW,0,0,0,0,in,543264218,1710678973683020078,GTVID_News,https://twitter.com/GTVID_News/status/1710678973683020078
3,Sat Oct 07 15:30:16 +0000 2023,1710678936752181300,Eksklusif!  Saksikan Interview ''Kesaksian Jessica Petaka Kopi Sianida''   Hanya di Channel Youtube Official iNews  https://t.co/SqKMdb6K22  #KopiSianida #IceCold #JessicaWongso https://t.co/nxMTzhDsZJ,0,0,0,0,in,132078023,1710678936752181300,officialinews_,https://twitter.com/officialinews_/status/1710678936752181300
4,Sat Oct 07 14:20:48 +0000 2023,1710661457254498427,"temen2 dokter smuanya yg masih otw jd dokter or mo ambil spesialis, sok pada jadi dokter forensik ya pls biar ada dr. Djaja, dr. Djaja yang lain🙏🏽  #IceCold #JessicaWongso",0,0,0,1,in,37406437,1710661457254498427,deviwulandari,https://twitter.com/deviwulandari/status/1710661457254498427
5,Sat Oct 07 14:17:25 +0000 2023,1710660603386221016,@JessicaWongso_ Jessica adalah korban 😭😭😭😭,0,0,0,0,in,2982200345,1709943801958248487,wen11368,https://twitter.com/wen11368/status/1710660603386221016
6,Sat Oct 07 13:43:12 +0000 2023,1710651993935712762,YUK DUKUNG JAGOAN MU &amp  SEGERA MAINKAN DI MERPATISLOT88 LINK LOGIN MERPATISLOT88:   https://t.co/XQRqZpRJ71 #Indonesia #Merpatislot88 #IceColdNetflix #Gaza #Palestina #persija #bonek #rtp #Israel #PersebayaDay #PERSIBDAY #JessicaWongso #Netflix #Komedi #Viral #mixparlay #Tren #Fyp https://t.co/7qetqXIHXT,0,0,0,0,in,1459726310326951940,1710651993935712762,Merpatislot88,https://twitter.com/Merpatislot88/status/1710651993935712762
7,Sat Oct 07 13:24:12 +0000 2023,1710647214274695476,"Ayah Mirna Akui Beri Uang Tutup Mulut ke Pakar Psikologi Forensik, Sebut Bukan Suap Tapi Kasihan   https://t.co/ZkeBYHSV9T lewat @tribunnews #edidarmawan #IceCold #JessicaWongso #kopisianida",0,0,0,0,in,1544145887290568705,1710647214274695476,WartaKota5,https://twitter.com/WartaKota5/status/1710647214274695476
8,Sat Oct 07 12:42:51 +0000 2023,1710636806260314219,"Janggal!!! kasus kopi sianida #jessicaWongso rame lagi gara gara dokumenter Netflix Ice Cold"". Apa saja kenjanggalannya ??? #Kopisianida #Mirna #kisahnyata #sianida #icecold #netflix https://t.co/K9HSOnKgBh""",0,0,0,1,in,1204280047,1710636806260314219,RAyunikartika,https://twitter.com/RAyunikartika/status/1710636806260314219
9,Sat Oct 07 12:17:42 +0000 2023,1710630476627742931,"no otopsi no case, itu hukum international dan dikuatkan oleh SOP Kapolri.....para penegak hukum sdh mati nalar #JessicaWongso.",0,0,0,0,in,110416756,1710630476627742931,TTheodore,https://twitter.com/TTheodore/status/1710630476627742931
10,Sat Oct 07 11:07:04 +0000 2023,1710612701767168240,YUK DUKUNG JAGOAN MU &amp  SEGERA MAINKAN DI MERPATISLOT88❗️❗️❗️ LINK LOGIN MERPATISLOT88:    https://t.co/XQRqZpRJ71 #Indonesia #Palestina #Alberto #Israel #PERSIBDAY #persijaday #thejak #bonek #liga1 #ligainggris #JessicaWongso  #mufc #IceColdNetflix    #Komedi #Viral #Tren #Fyp https://t.co/mE2v6T0nID,0,0,0,0,in,1459726310326951940,1710612701767168240,Merpatislot88,https://twitter.com/Merpatislot88/status/1710612701767168240
11,Sat Oct 07 10:50:57 +0000 2023,1710608648320512457,jessica apakah korban??? #IceCold #jessica #mirna #jessicawongso #Netflix #netflixdocumentary https://t.co/zwpZOqGHDc,0,0,0,0,in,1523593148160962560,1710608648320512457,prassyah,https://twitter.com/prassyah/status/1710608648320512457
12,Sat Oct 07 10:38:25 +0000 2023,1710605491578233273,Ada yang sudah menonton? menurut kalian gimana?  #icecoldmurdercoffeeandjessicawongso #jessicawongso #mirna #Sianida #dokumenter https://t.co/zfsKf8RGZ0,0,0,0,0,in,1498468598876372994,1710605491578233273,TERBITharian,https://twitter.com/TERBITharian/status/1710605491578233273
